INFO:root:Topic 0
INFO:root:12320 : 0.000641 
INFO:root:11047 : 0.000641 
INFO:root:3507 : 0.000638 
INFO:root:10320 : 0.000635 
INFO:root:889 : 0.000633 
INFO:root:341 : 0.000631 
INFO:root:3455 : 0.000622 
INFO:root:2280 : 0.000621 
INFO:root:465 : 0.000619 
INFO:root:10477 : 0.000615 
INFO:root:30002 : 0.000615 
INFO:root:24806 : 0.000613 
INFO:root:3483 : 0.000611 
INFO:root:11070 : 0.000608 
INFO:root:38925 : 0.000608 
INFO:root:2722 : 0.000605 
INFO:root:35409 : 0.000602 
INFO:root:1542 : 0.000602 
INFO:root:25634 : 0.000599 
INFO:root:18663 : 0.000598 
INFO:root:10951 : 0.000598 
INFO:root:14893 : 0.000598 
INFO:root:1157 : 0.000595 
INFO:root:35961 : 0.000592 
INFO:root:41399 : 0.000592 
INFO:root:15544 : 0.000590 
INFO:root:2710 : 0.000590 
INFO:root:3429 : 0.000588 
INFO:root:1888 : 0.000585 
INFO:root:20709 : 0.000583 
INFO:root:32011 : 0.000583 
INFO:root:18759 : 0.000580 
INFO:root:533 : 0.000580 
INFO:root:530 : 0.000578 
INFO:root:18742 : 0.000578 
INFO:root:414 : 0.000578 
INFO:root:1682 : 0.000577 
INFO:root:40455 : 0.000576 
INFO:root:18828 : 0.000576 
INFO:root:3926 : 0.000573 
INFO:root:29861 : 0.000570 
INFO:root:18642 : 0.000569 
INFO:root:3578 : 0.000569 
INFO:root:29525 : 0.000564 
INFO:root:20656 : 0.000563 
INFO:root:10752 : 0.000561 
INFO:root:34616 : 0.000561 
INFO:root:7469 : 0.000555 
INFO:root:8976 : 0.000552 
INFO:root:24719 : 0.000546 
INFO:root:1022 : 0.000538 
INFO:root:1024 : 0.000537 
INFO:root:10900 : 0.000532 
INFO:root:1829 : 0.000528 
INFO:root:17442 : 0.000528 
INFO:root:41840 : 0.000526 
INFO:root:44049 : 0.000525 
INFO:root:38810 : 0.000524 
INFO:root:24586 : 0.000523 
INFO:root:7931 : 0.000520 
INFO:root:1154 : 0.000517 
INFO:root:40459 : 0.000516 
INFO:root:15418 : 0.000515 
INFO:root:33750 : 0.000512 
INFO:root:953 : 0.000510 
INFO:root:37941 : 0.000510 
INFO:root:16513 : 0.000509 
INFO:root:18352 : 0.000508 
INFO:root:22642 : 0.000506 
INFO:root:23914 : 0.000506 
INFO:root:15427 : 0.000505 
INFO:root:3835 : 0.000504 
INFO:root:26151 : 0.000504 
INFO:root:15285 : 0.000503 
INFO:root:3315 : 0.000501 
INFO:root:24310 : 0.000497 
INFO:root:44198 : 0.000491 
INFO:root:35686 : 0.000490 
INFO:root:476 : 0.000489 
INFO:root:11045 : 0.000487 
INFO:root:32198 : 0.000485 
INFO:root:3379 : 0.000483 
INFO:root:1926 : 0.000482 
INFO:root:1424 : 0.000481 
INFO:root:9715 : 0.000480 
INFO:root:38280 : 0.000479 
INFO:root:24040 : 0.000478 
INFO:root:41971 : 0.000477 
INFO:root:31622 : 0.000477 
INFO:root:484 : 0.000470 
INFO:root:40526 : 0.000470 
INFO:root:31225 : 0.000470 
INFO:root:19572 : 0.000469 
INFO:root:9024 : 0.000468 
INFO:root:15596 : 0.000468 
INFO:root:28541 : 0.000467 
INFO:root:32692 : 0.000465 
INFO:root:8670 : 0.000463 
INFO:root:28516 : 0.000462 
INFO:root:2998 : 0.000462 
INFO:root:9793 : 0.000461 
INFO:root:1898 : 0.000461 
INFO:root:2191 : 0.000461 
INFO:root:3070 : 0.000460 
INFO:root:9423 : 0.000460 
INFO:root:1664 : 0.000459 
INFO:root:16904 : 0.000459 
INFO:root:2123 : 0.000456 
INFO:root:469 : 0.000454 
INFO:root:42680 : 0.000453 
INFO:root:1135 : 0.000453 
INFO:root:2453 : 0.000452 
INFO:root:2433 : 0.000452 
INFO:root:49949 : 0.000451 
INFO:root:38988 : 0.000450 
INFO:root:947 : 0.000450 
INFO:root:32874 : 0.000450 
INFO:root:28421 : 0.000450 
INFO:root:2989 : 0.000450 
INFO:root:573 : 0.000450 
INFO:root:2057 : 0.000449 
INFO:root:30301 : 0.000448 
INFO:root:33852 : 0.000447 
INFO:root:19612 : 0.000447 
INFO:root:25588 : 0.000445 
INFO:root:24782 : 0.000444 
INFO:root:29978 : 0.000442 
INFO:root:9242 : 0.000441 
INFO:root:13910 : 0.000441 
INFO:root:31744 : 0.000441 
INFO:root:34802 : 0.000440 
INFO:root:742 : 0.000439 
INFO:root:597 : 0.000438 
INFO:root:11858 : 0.000435 
INFO:root:10907 : 0.000435 
INFO:root:34174 : 0.000432 
INFO:root:2034 : 0.000431 
INFO:root:616 : 0.000431 
INFO:root:12928 : 0.000428 
INFO:root:25467 : 0.000428 
INFO:root:26088 : 0.000427 
INFO:root:23526 : 0.000426 
INFO:root:16234 : 0.000425 
INFO:root:8217 : 0.000422 
INFO:root:47292 : 0.000422 
INFO:root:1408 : 0.000422 
INFO:root:15653 : 0.000420 
INFO:root:444 : 0.000419 
INFO:root:2587 : 0.000418 
INFO:root:26273 : 0.000417 
INFO:root:30203 : 0.000417 
INFO:root:1358 : 0.000416 
INFO:root:8697 : 0.000415 
INFO:root:41611 : 0.000415 
INFO:root:1868 : 0.000414 
INFO:root:1948 : 0.000413 
INFO:root:18754 : 0.000413 
INFO:root:1435 : 0.000410 
INFO:root:1955 : 0.000409 
INFO:root:2936 : 0.000408 
INFO:root:4332 : 0.000408 
INFO:root:25915 : 0.000407 
INFO:root:31430 : 0.000407 
INFO:root:10640 : 0.000407 
INFO:root:18366 : 0.000406 
INFO:root:25150 : 0.000404 
INFO:root:32907 : 0.000402 
INFO:root:31085 : 0.000400 
INFO:root:31573 : 0.000399 
INFO:root:1974 : 0.000395 
INFO:root:3107 : 0.000392 
INFO:root:34364 : 0.000388 
INFO:root:18395 : 0.000388 
INFO:root:2421 : 0.000386 
INFO:root:16507 : 0.000386 
INFO:root:3196 : 0.000386 
INFO:root:11727 : 0.000385 
INFO:root:7546 : 0.000385 
INFO:root:1848 : 0.000383 
INFO:root:34770 : 0.000382 
INFO:root:35462 : 0.000382 
INFO:root:49959 : 0.000380 
INFO:root:876 : 0.000380 
INFO:root:43444 : 0.000379 
INFO:root:1774 : 0.000378 
INFO:root:852 : 0.000377 
INFO:root:21818 : 0.000376 
INFO:root:37852 : 0.000376 
INFO:root:844 : 0.000375 
INFO:root:38136 : 0.000375 
INFO:root:35401 : 0.000374 
INFO:root:41276 : 0.000374 
INFO:root:20537 : 0.000373 
INFO:root:16520 : 0.000372 
INFO:root:17586 : 0.000372 
INFO:root:360 : 0.000371 
INFO:root:28226 : 0.000371 
INFO:root:3037 : 0.000370 
INFO:root:30284 : 0.000370 
INFO:root:15119 : 0.000369 
INFO:root:10702 : 0.000367 
INFO:root:3314 : 0.000364 
INFO:root:2770 : 0.000363 
INFO:root:8401 : 0.000362 
INFO:root:32518 : 0.000362 
INFO:root:998 : 0.000361 
INFO:root:16519 : 0.000360 
INFO:root:8828 : 0.000360 
INFO:root:18396 : 0.000359 
INFO:root:4122 : 0.000359 
INFO:root:27924 : 0.000358 
INFO:root:27957 : 0.000358 
INFO:root:1188 : 0.000356 
INFO:root:688 : 0.000355 
INFO:root:350 : 0.000355 
INFO:root:8768 : 0.000354 
INFO:root:14205 : 0.000354 
INFO:root:9241 : 0.000353 
INFO:root:3388 : 0.000353 
INFO:root:32202 : 0.000352 
INFO:root:28363 : 0.000352 
INFO:root:44007 : 0.000351 
INFO:root:15742 : 0.000350 
INFO:root:14881 : 0.000349 
INFO:root:510 : 0.000348 
INFO:root:43120 : 0.000348 
INFO:root:18088 : 0.000348 
INFO:root:8896 : 0.000348 
INFO:root:28142 : 0.000348 
INFO:root:20268 : 0.000348 
INFO:root:7712 : 0.000347 
INFO:root:563 : 0.000346 
INFO:root:1313 : 0.000343 
INFO:root:1740 : 0.000342 
INFO:root:1832 : 0.000341 
INFO:root:19233 : 0.000340 
INFO:root:25878 : 0.000340 
INFO:root:3199 : 0.000340 
INFO:root:1547 : 0.000339 
INFO:root:3748 : 0.000339 
INFO:root:368 : 0.000338 
INFO:root:332 : 0.000338 
INFO:root:668 : 0.000337 
INFO:root:25464 : 0.000337 
INFO:root:3401 : 0.000336 
INFO:root:24435 : 0.000336 
INFO:root:8999 : 0.000335 
INFO:root:29636 : 0.000335 
INFO:root:1659 : 0.000334 
INFO:root:40471 : 0.000333 
INFO:root:1631 : 0.000328 
INFO:root:1369 : 0.000327 
INFO:root:39037 : 0.000327 
INFO:root:1045 : 0.000327 
INFO:root:30477 : 0.000326 
INFO:root:3447 : 0.000325 
INFO:root:25995 : 0.000325 
INFO:root:47495 : 0.000324 
INFO:root:35313 : 0.000324 
INFO:root:3293 : 0.000323 
INFO:root:26064 : 0.000323 
INFO:root:43996 : 0.000323 
INFO:root:30133 : 0.000323 
INFO:root:43766 : 0.000322 
INFO:root:2838 : 0.000322 
INFO:root:15348 : 0.000322 
INFO:root:13301 : 0.000322 
INFO:root:30041 : 0.000320 
INFO:root:1063 : 0.000318 
INFO:root:7574 : 0.000318 
INFO:root:2297 : 0.000317 
INFO:root:12628 : 0.000317 
INFO:root:3727 : 0.000315 
INFO:root:29533 : 0.000315 
INFO:root:1490 : 0.000315 
INFO:root:9981 : 0.000314 
INFO:root:3462 : 0.000314 
INFO:root:21385 : 0.000314 
INFO:root:47262 : 0.000313 
INFO:root:33719 : 0.000312 
INFO:root:28826 : 0.000312 
INFO:root:16792 : 0.000310 
INFO:root:47744 : 0.000310 
INFO:root:33108 : 0.000310 
INFO:root:7764 : 0.000309 
INFO:root:1025 : 0.000308 
INFO:root:2180 : 0.000308 
INFO:root:532 : 0.000308 
INFO:root:1105 : 0.000307 
INFO:root:3035 : 0.000306 
INFO:root:1102 : 0.000306 
